Well,Sample,Sample_ref,Treatment,Condition
A1,1,3B1,F1,lowP
A2,2,J2C,F201,lowP
A3,3,F2C,F230,lowP
A4,4,A1A,MOCK,lowP
A5,5,A1B,MOCK,lowP
A6,6,LowP 117 p1,F117,lowP
A7,7,E2C,F120,lowP
A8,8,LowP 117 p2,F117,lowP
A9,9,7B2,F23,lowP
A10,10,7B3,F23,lowP
A11,11,12B3,F58,lowP
A12,12,13B3,F64,lowP
E1,13,22B3,F100,lowP
E2,14,O2C,F147,lowP
E3,15,N2C,F44,lowP
E4,16,L2C,F134,lowP
E5,17,B2C,F79,lowP
E6,18,LowP 104 p3,F104,lowP
E7,19,LowP 100 p3,F100,lowP
E8,20,28B3,F129,lowP
E9,21,34B3,F46c,lowP
E10,22,10B3,F40,lowP
E11,23,29B3,F235,lowP
E12,24,MB2,MOCK,lowP
