Well,Sample,Sample_ref,Treatment,Condition
A1,1,3B1,F1,lowP
A2,2,34A3,F46c,highP
A3,3,26A3,F126,highP
A4,4,33A3,F243,highP
A5,5,HighP 117 p2,F117,highP
A6,6,32A3,F241,highP
A7,7,HighP 117 p1,F117,highP
A8,8,31A3,F135,highP
A9,9,A2C,MOCK,highP
A10,10,28A3,F129,highP
A11,11,10A3,F40,highP
A12,12,F1C,F230,highP
E1,13,J1C,F201,highP
E2,14,O2C,F147,highP
E3,15,N1C,F44,highP
E4,16,L1C,F134,highP
E5,17,G1C,F72,highP
E6,18,27A3,F127,highP
E7,19,2A3,MOCK,lowP
E8,20,B1C,F79,highP
E9,21,MA2,MOCK,highP
E10,22,E1C,F120,highP
E11,23,29A3,F235,highP
E12,24,25A1,F119,highP
