Well,Sample,Sample_ref,Treatment,Condition
A1,1,3B1,F1,lowP
A2,2,10B1,F40,lowP
A3,3,7B1,F23,lowP
A4,4,9B1,F34,lowP
A5,5,11B1,F42,lowP
A6,6,20B1,F94,lowP
A7,7,13B1,F64,lowP
A8,8,G2A,F72,lowP
A9,9,12B1,F58,lowP
A10,10,N2A,F44,lowP
A11,11,MB1,MOCK,lowP
A12,12,LowP 104 p1,F104,lowP
E1,13,LowP 100 p1,F100,lowP
E2,14,34B1,F46c,lowP
E3,15,33B1,F243,lowP
E4,16,32B1,F241,lowP
E5,17,29B1,F235,lowP
E6,18,21B1,F96,lowP
E7,19,31B1,F135,lowP
E8,20,28B1,F129,lowP
E9,21,27B1,F127,lowP
E10,22,26B1,F126,lowP
E11,23,25B1,F119,lowP
E12,24,24B1,F113,lowP
