Well,Sample,Sample_ref,Treatment,Condition
A1,1,3B1,F1,lowP
A2,2,B2A,F79,lowP
A3,3,I2C,F104,lowP
A4,4,E2A,F120,lowP
A5,5,L2A,F134,lowP
A6,6,O2A,F147,lowP
A7,7,J2A,F201,lowP
A8,8,M2A,F212,lowP
A9,9,F2A,F230,lowP
A10,10,3B2,F1,lowP
A11,11,5B2,F16,lowP
A12,12,4B2,F9,lowP
E1,13,8B2,F26,lowP
E2,14,14B2,F66,lowP
E3,15,15B2,F68,lowP
E4,16,16B2,F73,lowP
E5,17,17B2,F80,lowP
E6,18,18B2,F83,lowP
E7,19,19B2,F91,lowP
E8,20,12B2,F58,lowP
E9,21,13B2,F64,lowP
E10,22,22B2,F100,lowP
E11,23,28B2,F129,lowP
E12,24,34B2,F46c,lowP
