Well,Sample,Sample_ref,Treatment,Condition
A1,1,3B1,F1,lowP
A2,2,4B1,F9,lowP
A3,3,8A1,F26,highP
A4,4,14B1,F66,lowP
A5,5,14A1,F66,highP
A6,6,15B1,F68,lowP
A7,7,15A1,F68,highP
A8,8,16B1,F73,lowP
A9,9,8B1,F26,lowP
A10,10,6A1,F21,highP
A11,11,6B1,F21,lowP
A12,12,5A1,F16,highP
E1,13,5B1,F16,lowP
E2,14,4A1,F9,highP
E3,15,16A1,F73,highP
E4,16,17B1,F80,lowP
E5,17,17A1,F80,highP
E6,18,18B1,F83,lowP
E7,19,18A1,F83,highP
E8,20,19B1,F91,lowP
E9,21,19A1,F91,highP
E10,22,1B1,MOCK,lowP
E11,23,3A1,F1,highP
E12,24,1A1,MOCK,highP
