Well,Sample,Sample_ref,Treatment,Condition
A1,1,3B1,F1,lowP
A2,2,27B2,F127,lowP
A3,3,E2B,F120,lowP
A4,4,21B2,F96,lowP
A5,5,20B2,F94,lowP
A6,6,lowP 104 p2,F104,lowP
A7,7,2B2,MOCK,lowP
A8,8,33B2,F243,lowP
A9,9,32B2,F241,lowP
A10,10,25B2,F119,lowP
A11,11,26B2,F126,lowP
A12,12,M2B,F212,lowP
E1,13,F2B,F230,lowP
E2,14,9B2,F34,lowP
E3,15,N2B,F44,lowP
E4,16,29B2,F235,lowP
E5,17,31B2,F135,lowP
E6,18,J2B,F201,lowP
E7,19,L2B,F134,lowP
E8,20,O2B,F147,lowP
E9,21,G2B,F72,lowP
E10,22,B2B,F79,lowP
E11,23,11B2,F42,lowP
E12,24,24B2,F113,lowP
