Well,Sample,Sample_ref,Treatment,Condition
A1,1,3B1,F1,lowP
A2,2,8B3,F26,lowP
A3,3,2B3,MOCK,lowP
A4,4,31B3,F135,lowP
A5,5,27B3,F127,lowP
A6,6,25B3,F119,lowP
A7,7,24B3,F113,lowP
A8,8,20B3,F94,lowP
A9,9,11B3,F42,lowP
A10,10,9B3,F34,lowP
A11,11,18B3,F83,lowP
A12,12,5B3,F16,lowP
E1,13,26B3,F126,lowP
E2,14,14B3,F66,lowP
E3,15,16B3,F73,lowP
E4,16,15B3,F68,lowP
E5,17,3B3,F1,lowP
E6,18,32B3,F241,lowP
E7,19,1B3,MOCK,lowP
E8,20,33B3,F243,lowP
E9,21,4B3,F9,lowP
E10,22,21B3,F96,lowP
E11,23,19B3,F91,lowP
E12,24,17B3,F80,lowP
